Target_Resistance_Ohms,Measured_Resistance_Mean_Ohms,Measured_Resistance_StdDev_Ohms,Knob_Settings_Applied,Individual_Readings
Method 1: 1.000,1.1452918385,1.4855000000091323e-06,0.1 Ohm Decade:E40.00,"1.1453, 1.1453"
Method 2: 1.000,1.1488020259999998,1.6883999999994792e-05,"0.1 Ohm Decade:E0.00, 1 Ohm Decade:E4.00","1.1488, 1.1488"
2.0,2.1488103735,1.4326500000105824e-05,1 Ohm Decade:E8.00,"2.1488, 2.1488"
3.0,3.149016052,6.112999999974278e-06,1 Ohm Decade:E12.00,"3.1490, 3.1490"
4.0,4.1493503235,4.24549999999968e-06,1 Ohm Decade:E16.00,"4.1494, 4.1493"
5.0,5.148852609,4.643000000026376e-06,1 Ohm Decade:E20.00,"5.1489, 5.1488"
6.0,6.148862810000001,6.083000000156602e-06,1 Ohm Decade:E24.00,"6.1489, 6.1489"
7.0,7.1490632000000005,6.728000000233436e-06,1 Ohm Decade:E28.00,"7.1491, 7.1491"
8.0,8.149035049,8.23599999932867e-06,1 Ohm Decade:E32.00,"8.1490, 8.1490"
9.0,9.148968906499999,3.348350000020872e-05,1 Ohm Decade:E36.00,"9.1490, 9.1489"
Method 1: 10.000,10.148735355,3.500000023137774e-08,1 Ohm Decade:E40.00,"10.1487, 10.1487"
Method 2: 10.000,10.147571905,2.0884999999637444e-05,"10 Ohm Decade:E4.00, 1 Ohm Decade:E0.00","10.1476, 10.1476"
11.0,11.147989280000001,8.63400000001846e-05,1 Ohm Decade:E4.00,"11.1481, 11.1479"
12.0,12.148002065,0.00010846500000027959,1 Ohm Decade:E8.00,"12.1479, 12.1481"
13.0,13.147907435,5.393500000039353e-05,1 Ohm Decade:E12.00,"13.1479, 13.1480"
14.0,14.148572810000001,5.5510000000147386e-05,1 Ohm Decade:E16.00,"14.1485, 14.1486"
15.0,15.1480294,0.0001582700000000159,1 Ohm Decade:E20.00,"15.1482, 15.1479"
16.0,16.14806161,6.1500000008152256e-06,1 Ohm Decade:E24.00,"16.1481, 16.1481"
17.0,17.14817386,2.407999999931576e-05,1 Ohm Decade:E28.00,"17.1481, 17.1482"
18.0,18.146899474999998,0.0004925149999994716,1 Ohm Decade:E32.00,"18.1474, 18.1464"
19.0,19.14789647,7.066000000044426e-05,1 Ohm Decade:E36.00,"19.1480, 19.1478"
20.0,20.14605493,3.9010000000061495e-05,"10 Ohm Decade:E8.00, 1 Ohm Decade:E0.00","20.1460, 20.1461"
21.0,21.147792799999998,5.903000000095915e-05,1 Ohm Decade:E4.00,"21.1479, 21.1477"
22.0,22.147805060000003,0.0001400399999997859,1 Ohm Decade:E8.00,"22.1479, 22.1477"
23.0,23.148011975000003,0.00012526499999943042,1 Ohm Decade:E12.00,"23.1481, 23.1479"
24.0,24.144646975,0.00011251499999964665,1 Ohm Decade:E16.00,"24.1448, 24.1445"
25.0,25.147792565,4.7405000000111386e-05,1 Ohm Decade:E20.00,"25.1478, 25.1477"
26.0,26.147644375,7.283499999921617e-05,1 Ohm Decade:E24.00,"26.1477, 26.1476"
27.0,27.144268355,4.4705000000533346e-05,1 Ohm Decade:E28.00,"27.1443, 27.1442"
28.0,28.144060165,0.00015069500000031155,1 Ohm Decade:E32.00,"28.1442, 28.1439"
29.0,29.14434764,4.199999999343618e-06,1 Ohm Decade:E36.00,"29.1443, 29.1444"
30.0,30.14557326,3.449999999460829e-06,"10 Ohm Decade:E12.00, 1 Ohm Decade:E0.00","30.1456, 30.1456"
31.0,31.147008915,1.9654999999119127e-05,1 Ohm Decade:E4.00,"31.1470, 31.1470"
32.0,32.146905884999995,4.6735000001518756e-05,1 Ohm Decade:E8.00,"32.1470, 32.1469"
33.0,33.146928044999996,8.378499999750488e-05,1 Ohm Decade:E12.00,"33.1468, 33.1470"
34.0,34.146721805,0.0022725050000005353,1 Ohm Decade:E16.00,"34.1490, 34.1444"
35.0,35.14434102,0.00010763999999952034,1 Ohm Decade:E20.00,"35.1442, 35.1444"
36.0,36.14710225,0.000154300000001939,1 Ohm Decade:E24.00,"36.1469, 36.1473"
37.0,37.14720475,1.139999999821839e-05,1 Ohm Decade:E28.00,"37.1472, 37.1472"
38.0,38.143765345,0.00015677500000066402,1 Ohm Decade:E32.00,"38.1439, 38.1436"
39.0,39.143887719999995,6.2999999990154265e-06,1 Ohm Decade:E36.00,"39.1439, 39.1439"
40.0,40.144032,0.000213479999999322,"10 Ohm Decade:E16.00, 1 Ohm Decade:E0.00","40.1442, 40.1438"
41.0,41.146036824999996,0.00011146499999981074,1 Ohm Decade:E4.00,"41.1461, 41.1459"
42.0,42.145872745000005,7.943499999996106e-05,1 Ohm Decade:E8.00,"42.1460, 42.1458"
43.0,43.1450935,0.0009274999999995259,1 Ohm Decade:E12.00,"43.1460, 43.1442"
